host,device,mount,size,fs
prod-docker-be-1-c,nvme1n1,/srv/volumes/ihs-db,1.3T,xfs
prod-docker-be-1-c,nvme2n1,/var/lib/docker,50G,xfs
prod-docker-be-1-c,nvme3n1,/srv/volumes/product-db,600G,xfs
prod-docker-be-1-c,nvme4n1,/srv/volumes,1.1T,xfs
prod-docker-be-1-c,nvme0n1,16G,
prod-docker-be-1-c,nvme0n1p1,/,16G,xfs
test-docker-be-2-a,nvme0n1,/srv/volumes,2.3T,xfs
test-docker-be-2-a,nvme1n1,/var/lib/docker,50G,xfs
test-docker-be-2-a,nvme2n1,16G,
test-docker-be-2-a,nvme2n1p1,/,16G,xfs
prod-docker-fe-1-a,nvme1n1,/srv/volumes,250G,xfs
prod-docker-fe-1-a,nvme2n1,/srv/volumes/loader-images,9.8T,xfs
prod-docker-fe-1-a,nvme3n1,/var/lib/docker,50G,xfs
prod-docker-fe-1-a,nvme0n1,16G,
prod-docker-fe-1-a,nvme0n1p1,/,16G,xfs
prod-docker-zk-1-a,nvme1n1,/var/lib/docker,50G,xfs
prod-docker-zk-1-a,nvme2n1,/srv/volumes/zookeeper/data/log,4G,xfs
prod-docker-zk-1-a,nvme3n1,/srv/volumes,4G,xfs
prod-docker-zk-1-a,nvme4n1,/srv/volumes/zookeeper/data/data,4G,xfs
prod-docker-zk-1-a,nvme0n1,16G,
prod-docker-zk-1-a,nvme0n1p1,/,16G,xfs
prod-docker-ai-1-a,nvme1n1,/var/lib/docker,50G,xfs
prod-docker-ai-1-a,nvme3n1,/srv/volumes/annotate-db,1.7T,xfs
prod-docker-ai-1-a,nvme0n1,16G,
prod-docker-ai-1-a,nvme0n1p1,/,16G,xfs
prod-docker-ai-1-a,nvme2n1,/srv/volumes,32G,xfs
internal-docker-2-a,nvme1n1,/var/lib/docker,50G,xfs
internal-docker-2-a,nvme2n1,/srv/volumes,130G,xfs
internal-docker-2-a,nvme0n1,16G,
internal-docker-2-a,nvme0n1p1,/,16G,xfs
test-docker-zk-1-c,nvme0n1,/var/lib/docker,50G,xfs
test-docker-zk-1-c,nvme1n1,/srv/volumes/zookeeper/data/log,4G,xfs
test-docker-zk-1-c,nvme2n1,16G,
test-docker-zk-1-c,nvme2n1p1,/,16G,xfs
test-docker-zk-1-c,nvme3n1,/srv/volumes,4G,xfs
test-docker-zk-1-c,nvme4n1,/srv/volumes/zookeeper/data/data,4G,xfs
internal-docker-1-a,nvme1n1,/var/lib/docker,50G,xfs
internal-docker-1-a,nvme2n1,/srv/volumes,130G,xfs
internal-docker-1-a,nvme0n1,16G,
internal-docker-1-a,nvme0n1p1,/,16G,xfs
internal-docker-1-a,nvme3n1,/srv/volumes/datalab-db,20G,xfs
test-docker-kf-1-b,nvme2n1,/srv/volumes/kafka/data,161G,xfs
test-docker-kf-1-b,nvme0n1,/var/lib/docker,50G,xfs
test-docker-kf-1-b,nvme1n1,/srv/volumes,4G,xfs
test-docker-kf-1-b,nvme3n1,16G,
test-docker-kf-1-b,nvme3n1p1,/,16G,xfs
test-docker-kf-1-c,nvme0n1,/srv/volumes/kafka/data,161G,xfs
test-docker-kf-1-c,nvme1n1,/srv/volumes,4G,xfs
test-docker-kf-1-c,nvme2n1,16G,
test-docker-kf-1-c,nvme2n1p1,/,16G,xfs
test-docker-kf-1-c,nvme3n1,/var/lib/docker,50G,xfs
prod-docker-be-2-a,nvme1n1,/srv/volumes,3T,xfs
prod-docker-be-2-a,nvme2n1,/var/lib/docker,50G,xfs
prod-docker-be-2-a,nvme0n1,16G,
prod-docker-be-2-a,nvme0n1p1,/,16G,xfs
prod-docker-be-2-a,nvme3n1,/srv/volumes/change-track-db,400G,xfs
prod-docker-be-1-b,nvme1n1,/srv/volumes/product-db,750G,xfs
prod-docker-be-1-b,nvme2n1,/srv/volumes,1.2T,xfs
prod-docker-be-1-b,nvme3n1,/srv/volumes/annotate-db,1.8T,xfs
prod-docker-be-1-b,nvme4n1,/var/lib/docker,50G,xfs
prod-docker-be-1-b,nvme5n1,/srv/volumes/harvest-db,450G,xfs
prod-docker-be-1-b,nvme0n1,16G,
prod-docker-be-1-b,nvme0n1p1,/,16G,xfs
test-docker-be-2-b,nvme0n1,/var/lib/docker,50G,xfs
test-docker-be-2-b,nvme1n1,/srv/volumes,1.1T,xfs
test-docker-be-2-b,nvme2n1,16G,
test-docker-be-2-b,nvme2n1p1,/,16G,xfs
test-docker-be-2-b,nvme3n1,/srv/volumes/change-track-db,800G,xfs
test-docker-be-2-c,nvme0n1,/srv/volumes,500G,xfs
test-docker-be-2-c,nvme1n1,/var/lib/docker,50G,xfs
test-docker-be-2-c,nvme2n1,16G,
test-docker-be-2-c,nvme2n1p1,/,16G,xfs
internal-docker-2-b,nvme1n1,/var/lib/docker,50G,xfs
internal-docker-2-b,nvme2n1,/srv/volumes,130G,xfs
internal-docker-2-b,nvme0n1,16G,
internal-docker-2-b,nvme0n1p1,/,16G,xfs
test-docker-kf-1-a,nvme0n1,/srv/volumes,4G,xfs
test-docker-kf-1-a,nvme1n1,/var/lib/docker,50G,xfs
test-docker-kf-1-a,nvme2n1,16G,
test-docker-kf-1-a,nvme2n1p1,/,16G,xfs
test-docker-kf-1-a,nvme3n1,/srv/volumes/kafka/data,161G,xfs
test-docker-be-1-b,nvme0n1,/srv/volumes,40G,xfs
test-docker-be-1-b,nvme1n1,/var/lib/docker,50G,xfs
test-docker-be-1-b,nvme2n1,16G,
test-docker-be-1-b,nvme2n1p1,/,16G,xfs
test-docker-be-1-b,nvme3n1,/srv/volumes/product-db,1.2T,xfs
prod-docker-be-2-b,nvme1n1,/var/lib/docker,50G,xfs
prod-docker-be-2-b,nvme2n1,/srv/volumes/ihs-db,1.3T,xfs
prod-docker-be-2-b,nvme3n1,/srv/volumes,3.3T,xfs
prod-docker-be-2-b,nvme0n1,16G,
prod-docker-be-2-b,nvme0n1p1,/,16G,xfs
prod-docker-be-2-b,nvme4n1,/srv/volumes/change-track-db,400G,xfs
test-docker-be-1-a,nvme0n1,/srv/volumes/annotate-db,1.9T,xfs
test-docker-be-1-a,nvme1n1,/srv/volumes,3T,xfs
test-docker-be-1-a,nvme2n1,/srv/volumes/harvest-db,1.1T,xfs
test-docker-be-1-a,nvme3n1,/var/lib/docker,50G,xfs
test-docker-be-1-a,nvme4n1,16G,
test-docker-be-1-a,nvme4n1p1,/,16G,xfs
test-docker-zk-1-b,nvme0n1,/var/lib/docker,50G,xfs
test-docker-zk-1-b,nvme1n1,/srv/volumes,4G,xfs
test-docker-zk-1-b,nvme2n1,/srv/volumes/zookeeper/data/data,4G,xfs
test-docker-zk-1-b,nvme3n1,/srv/volumes/zookeeper/data/log,4G,xfs
test-docker-zk-1-b,nvme4n1,16G,
test-docker-zk-1-b,nvme4n1p1,/,16G,xfs
prod-docker-kf-1-b,nvme1n1,/srv/volumes/kafka/data,300G,xfs
prod-docker-kf-1-b,nvme2n1,/var/lib/docker,50G,xfs
prod-docker-kf-1-b,nvme3n1,/srv/volumes,4G,xfs
prod-docker-kf-1-b,nvme0n1,16G,
prod-docker-kf-1-b,nvme0n1p1,/,16G,xfs
test-docker-fe-1-a,nvme0n1,/var/lib/docker,50G,xfs
test-docker-fe-1-a,nvme1n1,/srv/volumes/loader-images,8.8T,xfs
test-docker-fe-1-a,nvme2n1,/srv/volumes,20G,xfs
test-docker-fe-1-a,nvme3n1,16G,
test-docker-fe-1-a,nvme3n1p1,/,16G,xfs
test-docker-be-1-c,nvme0n1,/srv/volumes/ihs-db,1.4T,xfs
test-docker-be-1-c,nvme1n1,/var/lib/docker,50G,xfs
test-docker-be-1-c,nvme2n1,/srv/volumes,800G,xfs
test-docker-be-1-c,nvme3n1,16G,
test-docker-be-1-c,nvme3n1p1,/,16G,xfs
prod-docker-be-1-a,nvme1n1,/var/lib/docker,50G,xfs
prod-docker-be-1-a,nvme2n1,/srv/volumes,2.3T,xfs
prod-docker-be-1-a,nvme3n1,/srv/volumes/harvest-db,450G,xfs
prod-docker-be-1-a,nvme0n1,16G,
prod-docker-be-1-a,nvme0n1p1,/,16G,xfs
prod-docker-kf-1-a,nvme1n1,/srv/volumes/kafka/data,300G,xfs
prod-docker-kf-1-a,nvme2n1,/var/lib/docker,50G,xfs
prod-docker-kf-1-a,nvme3n1,/srv/volumes,4G,xfs
prod-docker-kf-1-a,nvme0n1,16G,
prod-docker-kf-1-a,nvme0n1p1,/,16G,xfs
prod-docker-be-2-c,nvme1n1,/srv/volumes,400G,xfs
prod-docker-be-2-c,nvme2n1,/var/lib/docker,50G,xfs
prod-docker-be-2-c,nvme0n1,16G,
prod-docker-be-2-c,nvme0n1p1,/,16G,xfs
prod-docker-zk-1-b,nvme1n1,/var/lib/docker,50G,xfs
prod-docker-zk-1-b,nvme3n1,/srv/volumes,4G,xfs
prod-docker-zk-1-b,nvme0n1,16G,
prod-docker-zk-1-b,nvme0n1p1,/,16G,xfs
prod-docker-zk-1-b,nvme2n1,/srv/volumes/zookeeper/data/log,4G,xfs
prod-docker-zk-1-b,nvme4n1,/srv/volumes/zookeeper/data/data,4G,xfs
prod-docker-zk-1-c,nvme1n1,/var/lib/docker,50G,xfs
prod-docker-zk-1-c,nvme3n1,/srv/volumes,4G,xfs
prod-docker-zk-1-c,nvme4n1,/srv/volumes/zookeeper/data/data,4G,xfs
prod-docker-zk-1-c,nvme0n1,16G,
prod-docker-zk-1-c,nvme0n1p1,/,16G,xfs
prod-docker-zk-1-c,nvme2n1,/srv/volumes/zookeeper/data/log,4G,xfs
prod-docker-kf-1-c,nvme2n1,/var/lib/docker,50G,xfs
prod-docker-kf-1-c,nvme1n1,/srv/volumes/kafka/data,300G,xfs
prod-docker-kf-1-c,nvme3n1,/srv/volumes,4G,xfs
prod-docker-kf-1-c,nvme0n1,16G,
prod-docker-kf-1-c,nvme0n1p1,/,16G,xfs
