host-name,instance-type,instance-id
internal-docker-1-a,r5a.xlarge,i-d610d401
internal-docker-2-a,r5a.large,i-068f6c1ec122fd543
internal-docker-2-b,t3.small,i-0257b437a3a73e6c3
internal-docker-ml-1-a,x1.16xlarge,i-043748527632be370
internal-docker-ml-3-a,x1.16xlarge,i-0202daaec1ec735b1
prod-docker-ai-1-a,m5a.large,i-097f6d6fe052edf47
prod-docker-be-1-a,r5a.xlarge,i-04fd7c49ae34a0290
prod-docker-be-1-b,r5.xlarge,i-0781f4c7d862e8198
prod-docker-be-1-c,m5a.xlarge,i-0a99317a86a231115
prod-docker-be-2-a,r5a.2xlarge,i-0b655dd60f4e77d6f
prod-docker-be-2-b,r5a.2xlarge,i-0cfb8a84e33401158
prod-docker-be-2-c,m5a.4xlarge,i-00e8b11e7216e16a0
prod-docker-fe-1-a,r5a.xlarge,i-4a83b19f
prod-docker-fe-1-b,t3a.medium,i-7a78efca
prod-docker-fe-1-c,t2.micro,i-df52235e
prod-docker-kf-1-a,t3.medium,i-082e188671731a57c
prod-docker-kf-1-b,t3.medium,i-06c66ea6b9c35bfc2
prod-docker-kf-1-c,t3.medium,i-0ad035119fcbfd694
prod-docker-zk-1-a,t3.small,i-02f708efafa190bd2
prod-docker-zk-1-b,t3.small,i-07b2724014f9e5699
prod-docker-zk-1-c,t3.small,i-03588a775c2637604
test-docker-be-1-a,r5a.xlarge,i-08775ef472b026d1c
test-docker-be-1-b,r5a.large,i-0a53146776efe2203
test-docker-be-1-c,r5a.large,i-064cf1df3b3dcf566
test-docker-be-2-a,r5a.xlarge,i-09e583aa1b0cd72d2
test-docker-be-2-b,r5a.2xlarge,i-0ff4e4989e1491262
test-docker-be-2-c,r5a.2xlarge,i-053fe68e886d4ad01
test-docker-fe-1-a,r5a.large,i-09d703ff48d4d7bfd
test-docker-fe-1-b,t3a.medium,i-004c27b849169fbb5
test-docker-kf-1-a,t3a.medium,i-012f091a7026e9758
test-docker-kf-1-b,t3a.medium,i-01bddd37fcf9b9bce
test-docker-kf-1-c,t3a.medium,i-04c49b6152b19eac9
test-docker-zk-1-a,t3a.small,i-03f554a2e2cf36c4a
test-docker-zk-1-b,t3a.small,i-0dcab8a535e809b9e
test-docker-zk-1-c,t3a.small,i-0906095d56f1fb4cb
