Attach-AttachTime,Attach-Device,Attach-InstanceId,Attach-State,Attach-VolumeId,Attach-DeleteOnTermination,AvailabilityZone,CreateTime,Encrypted,Size,SnapshotId,State,VolumeId,VolumeType,MultiAttachEnabled,Iops
2012-07-10T16:52:11.000Z,/dev/sda1,i-66c94d1e,attached,vol-c60fdca7,true,us-east-1b,2012-07-10T16:52:11.000Z,false,30,snap-0ed9e371,in-use,vol-c60fdca7,standard,false,
2012-07-20T13:35:55.000Z,xvdf,i-66c94d1e,attached,vol-5a2d6c3b,false,us-east-1b,2012-07-20T13:35:38.000Z,false,100,,in-use,vol-5a2d6c3b,standard,false,
2012-08-14T11:06:05.000Z,xvdg,i-66c94d1e,attached,vol-d9c267b9,false,us-east-1b,2012-08-14T11:05:46.000Z,false,500,,in-use,vol-d9c267b9,standard,false,
2018-05-02T02:20:14.000Z,xvda,i-01c8d5000e83643c6,attached,vol-0330b2abda9e8cb34,false,us-east-1b,2018-05-02T02:20:14.248Z,false,2,snap-0017a1ebe3766441c,in-use,vol-0330b2abda9e8cb34,gp2,false,100
2018-06-06T18:51:14.000Z,/dev/sdb,i-0faa038a5e6fe0252,attached,vol-0900ea83ce63cc9da,true,us-east-1b,2018-06-06T18:51:14.751Z,false,32,,in-use,vol-0900ea83ce63cc9da,gp2,false,100
2018-06-06T18:51:14.000Z,/dev/xvda,i-0faa038a5e6fe0252,attached,vol-0712a72dcd327e11d,true,us-east-1b,2018-06-06T18:51:14.670Z,false,10,snap-0fd56119088880ae1,in-use,vol-0712a72dcd327e11d,gp2,false,100
2018-10-11T19:34:25.000Z,/dev/xvdb,i-0a53146776efe2203,attached,vol-036d6f0b6be8fdbf1,false,us-east-1b,2018-10-11T18:52:27.222Z,false,50,,in-use,vol-036d6f0b6be8fdbf1,gp2,false,150
2018-10-11T19:34:54.000Z,/dev/xvdb,i-0ff4e4989e1491262,attached,vol-06ff3df3a49453255,false,us-east-1b,2018-10-11T18:52:27.443Z,false,50,,in-use,vol-06ff3df3a49453255,gp2,false,150
2018-10-11T19:34:53.000Z,xvda,i-0ff4e4989e1491262,attached,vol-0f19429cecb3669eb,false,us-east-1b,2018-10-11T18:52:26.522Z,false,16,,in-use,vol-0f19429cecb3669eb,gp2,false,100
2018-10-11T19:34:23.000Z,/dev/xvda,i-0a53146776efe2203,attached,vol-00c6cb8ca593c27e0,false,us-east-1b,2018-10-11T18:52:26.309Z,false,16,,in-use,vol-00c6cb8ca593c27e0,gp2,false,100
