host-name,image-name,container-name
internal-docker-1-a,nginx,proxy
internal-docker-1-a,oseberg/datalab-db:develop,datalab-db
internal-docker-1-a,oseberg/http-repo:1.0-1.15,maven
internal-docker-1-a,oseberg/http-repo:1.0-1.15,pypi
internal-docker-1-a,oseberg/jenkins,jenkins
internal-docker-2-a,nginx,proxy
internal-docker-2-a,oseberg/bitbucket,bitbucket
internal-docker-2-a,oseberg/confluence,confluence
internal-docker-2-a,oseberg/fme-flexnet,fme-flexserver
internal-docker-2-a,oseberg/jira,jira
internal-docker-2-a,oseberg/postgres:1.1-9.6,confluence-db
internal-docker-2-a,oseberg/postgres:1.1-9.6,jira-db
internal-docker-2-a,oseberg/postgres:1.2-11,bitbucket-db
internal-docker-2-b,nginx,proxy
internal-docker-2-b,oseberg/postgres:1.1-9.6,confluence-db
internal-docker-2-b,oseberg/postgres:1.1-9.6,jira-db
internal-docker-2-b,oseberg/postgres:1.2-11,bitbucket-db
prod-docker-ai-1-a,nginx,proxy
prod-docker-ai-1-a,oseberg/annotate-db:2.10.0,annotate-db
prod-docker-be-1-a,71ddce2dd4ed,message-db
prod-docker-be-1-a,nginx,proxy
prod-docker-be-1-a,oseberg/account-db:latest,account-db
prod-docker-be-1-a,oseberg/annotation-kafka-interface:3.5.6,annotation-kafka-interface
prod-docker-be-1-a,oseberg/atla-state-db:1.0.3,atla-state-db
prod-docker-be-1-a,oseberg/copy-cat:master,copy-cat-datastream
prod-docker-be-1-a,oseberg/datastream-db:2.0.8,datastream-db
prod-docker-be-1-a,oseberg/kafka-manager:1.3.3.18,kafka-manager
prod-docker-be-1-a,oseberg/postgis:1.2-11,harvest-db
prod-docker-be-1-a,oseberg/proxy-manager:latest,proxy-manager
prod-docker-be-1-b,nginx,proxy
prod-docker-be-1-b,oseberg/account-db:latest,account-db
prod-docker-be-1-b,oseberg/annotate-db:master,annotate-db
prod-docker-be-1-b,oseberg/atla-state-db:master,atla-state-db
prod-docker-be-1-b,oseberg/datastream-db:master,datastream-db
prod-docker-be-1-b,oseberg/message-db:master,message-db
prod-docker-be-1-b,oseberg/postgis:1.2-11,harvest-db
prod-docker-be-1-b,oseberg/postgis:1.2-11,product-db
prod-docker-be-1-b,oseberg/postgis:9.4-2.1,hazel-db
prod-docker-be-1-c,nginx,proxy
prod-docker-be-1-c,oseberg/copy-cat:master,copy-cat-dora
prod-docker-be-1-c,oseberg/dora-db:2.2.2,dora-db
prod-docker-be-1-c,oseberg/logstash:6.2.1,kafka-to-es-domain-6
prod-docker-be-1-c,oseberg/osecon-etl-db:master,osecon-etl-db
prod-docker-be-1-c,oseberg/postgis:1.2-11,ihs-db
prod-docker-be-1-c,oseberg/postgis:1.2-11,product-db
